hotstar_id,title,description,genre,year,age_rating,running_time,seasons,episodes,type
1000231066,Rekka,"Known for helping girls in getting out of unwanted marriages, Siva has created enemies. Trouble ensues when he is trapped to kidnap a politico's daughter.",Action,2016,U/A 13+,114,not present,not present,movie
1000098151,Shodha,"As part of a study tour, a group of college students visit a dense forest. Things get out of hand when a few unruly students clash with the others.",Drama,2009,U/A 13+,113,not present,not present,movie
1770000953,Aliens,"After surviving an apocalyptic attack aboard her space vessel, Officer Ripley awakens from hyper-sleep and warns anyone who will listen about the predators.",Action,1986,A,137,not present,not present,movie
1000108836,Arakkallan Mukkalkkallan,"Naagan and Aruvikkara Thampy are sworn enemies. Later, they learn that they are brothers and were pitched against each other by evil forces.",Thriller,1974,U,152,not present,not present,movie
1000169182,Bala Navika,"Young Ravi's father is a drunkard. Hence, he and his mother work hard to look after the family. More problems occur when Ravi meets with an accident at work.",Drama,2002,U/A 13+,119,not present,not present,movie
1000163696,Waiting,"Shiv and Tara meet while nursing their respective comatose spouses. In this waiting period of love, care and patience, the two develop a unique bond.",Drama,2016,U/A 16+,93,not present,not present,movie
1000105986,Appu,"Appukuttan is an honest young man who falls in love with Sarojini. But she does not like him. One day, a dancer is found raped and killed! Who is the murderer?",Thriller,1990,U/A 13+,139,not present,not present,movie
1000110732,Kireedam,"Constable Achuthan Nair wants to make his son, Sethu Madhavan, a police inspector. However, Sethu's attempt to save his father from trouble lands him in a soup.",Drama,1989,U/A 13+,126,not present,not present,movie
1260049912,Speed 2: Cruise Control,"In an attempt to avoid a life of dangerous police work, Annie and her boyfriend head to the Caribbean for a relaxing vacation — or so they thought.",Action,1996,U/A 13+,125,not present,not present,movie
1000109448,Anatha Rakshaka,"Breaking out of prison and disguising as a godman, a crook resumes his criminal activities in a village where he is worshipped. Who will stop him?",Drama,1991,U/A 13+,132,not present,not present,movie
1000063694,Danger,Five friends get lost in a forest while escaping cops. They witness a shocking incident that changes their lives forever.,Action,2005,U/A 13+,125,not present,not present,movie
1000055955,Nippu (Fire),"When Surya flies to Saudi Arabia to meet his friend, Sriram, he finds out that the latter has been accused of killing his lover. How will he prove his innocence?",Action,2012,U/A 13+,151,not present,not present,movie
1000103403,Loki,An autorickshaw driver is known to be a notorious womaniser. What happens when he meets Kavitha? Will she change his life forever?,Drama,2013,U/A 13+,127,not present,not present,movie
1000168511,Thulabharam,"Circumstances force friends Vijaya and Vatsala to part ways. Years later, when a desperate Vijaya commits a crime, Vatsala, now a lawyer, takes up the case.",Drama,1968,U,141,not present,not present,movie
1000104631,Ishq,"When Ajay and Madhu's rich dads oppose their relationship with Kajal and Raja because they are poor, the four rally behind their love and concoct ways to rebel.",Comedy,1997,U/A 13+,156,not present,not present,movie
1260096368,The 2021 Rock & Roll Hall of Fame Induction Ceremony,"The 2021 Rock & Roll Hall of Fame Induction Ceremony honours Tina Turner, Carole King, The Go-Go's, JAY-Z, Foo Fighters, and many more musical legends.",Musical,2021,U/A 16+,188,not present,not present,movie
1770002656,Neel Rajar Deshe,"Neel Rajar Deshe is a Bengali drama starring Aryann Bhowmick, Tathoi Deb and Indrani Haldar, directed by Riingo Banerjee. Raja, his sister and friends find a badly wounded child in a forest. Soon they learn that he has been kidnapped for ransom. Worse, they discover that Raja's father is involved in the racket. Watch the full movie, Neel Rajar Deshe, online, only on Hotstar.",Drama,2008,U,106,not present,not present,movie
1808053173,MAYA,"Unhappy in her marriage, Asmita wants to become rich and enjoy life. She becomes companion of a enigmatic rich old man. Is she willing to pay the price?",Thriller,2020,U/A 13+,23,not present,not present,movie
1000105644,Black,"Black is a Kannada drama, directed by Mahendra and starring Suneel, Naveen and Jayashree. The film is about the 'darkness' in a man's life. This darkness, brought about by corruption, is found everywhere; affecting farmers, children, their education, goverment hospitals and so on. Watch the full film, streaming on Hotstar.",Drama,2009,U/A 16+,135,not present,not present,movie
1000230936,Sammohanam,"Vijay, an illustrator, hates the world of films and the people involved. But, in a twist of fate, he falls for Sameera, an actress. Will he forgo his prejudice?",Romance,2018,U,127,not present,not present,movie
1000044073,Indra,"Aiyanna and his wife get killed by goons. His brother, a simple guy, takes the law into his own hands to avenge his death.",Action,2008,U/A 16+,147,not present,not present,movie
1000061240,Sevanthi Sevanthi,"Sevanthi is a fan of folk singer Devu. He mistakes it for love till he learns that she is set to marry someone else. In desperation, he does the unthinkable.",Romance,2006,U/A 7+,166,not present,not present,movie
1770001371,Americans In Bed,"Ten American couples filmed in the comfort of their own beds openly discuss romance, sex, trust, and love, revealing what makes their relationships tick.",Documentary,2013,A,77,not present,not present,movie
1000232077,Ram Gopal Varma ki Aag,"Dacoit Babban Singh is on the loose in Kaliganj. Inspector Narsimha hires two petty goons, Heero and Raj to nab him. Will the duo succeed in their plan?",Action,2007,U/A 13+,152,not present,not present,movie
1000158659,Pappan Priyappetta Pappan,"When Lord Yama realises that singer Pappan, who died in an accident, has some more days to live, he allows him to enter the bodies of other dead people.",Drama,1986,U/A 13+,138,not present,not present,movie
1000067442,Bharath Chandra,A righteous policer officer's life turns chaotic after a key witness in a communal riot case gets killed despite tight security. How will he expose the culprit?,Action,2006,U/A 16+,108,not present,not present,movie
1000096755,Preetigagi,"Facing opposition, Sanju and Mili elope. However, just before their marriage, they decide to return and seek the blessings of their elders.",Romance,2007,U/A 7+,159,not present,not present,movie
1000070419,Yamakantri,Pughazh is a student who tracks down baddies. He meets Janavi at a wedding and falls in love but also targets her father. But a shocking secret awaits him.,Action,2011,U/A 13+,2,not present,not present,movie
1770002599,Dada,A man sets out on a mission to fight the system and bring justice. But his journey is filled with hurdles.,Action,2005,U/A 7+,141,not present,not present,movie
1770001364,Rio 2,"After being hurtled from Rio de Janeiro, Blu, his wife Jewel, and three kids go back to the jungles of Amazon. Will the city bird family fit into the wild?",Animation,2014,U,101,not present,not present,movie
1000062809,Devarane,Corrupt K.K. announces that Chitteswamy is a godman. Soon devotees throng to seek his blessings and help to resolve their problems. But he falls for Sheela.,Comedy,2013,U/A 16+,122,not present,not present,movie
1000081176,Visudhan,"Father Sunny learns that Vavachan is running an illegal trade in his old-age home. When Sister Sophy shares proof, the priest and the nun face shocking charges.",Crime,2013,U/A 13+,125,not present,not present,movie
1000097142,Chaduvukunna Ammayilu,Besties Sujatha and Vasantha's friendship faces an arduous test when they fall for the same man. Who will make the ultimate sacrifice?,Drama,1963,U/A 13+,163,not present,not present,movie
1260014568,Poysa Usul,"RAW hires a convict to deal with a high-profile mafia don. When a journalist chasing the don goes missing, clues point at the convict. What's the connection?",Action,2017,U/A 13+,125,not present,not present,movie
1260013434,San Francisco 2.0,"Alexandra Pelosi takes a look at the future of San Francisco, where the tech boom is causing economic disruption in the counterculture capital of the U.S.",Documentary,2015,U/A 7+,39,not present,not present,movie
